"maternalAge" "ID" "scenario" "rep1" "rep10" "rep2" "rep3" "rep4" "rep5" "rep6" "rep7" "rep8" "rep9" "mean" "min" "max" "group"
"1" 0 "1_damage2836" "damage" -1.24162527038724 -1.24978360815593 -1.38397183635511 -1.46311081731588 -1.3711125251963 -1.40847181557073 -1.30883028151819 -1.21284081359559 -1.21232086904073 -1.27657177429266 1 0.886721254881539 1.08151892189498 "Longitudinal"
"2" 0.0294117647058824 "1_damage2836" "damage" -1.26393642439286 -1.27139482720022 -1.40318835448278 -1.45771788516577 -1.38643253933953 -1.42318978608532 -1.30618365645699 -1.23608598652788 -1.23237382590396 -1.3011468335098 0.987996024999692 0.890610834872204 1.06489484690133 "Longitudinal"
"3" 0.0588235294117647 "1_damage2836" "damage" -1.28624757040549 -1.29300604289933 -1.42240488007408 -1.45233510145415 -1.40175251192305 -1.43789118073484 -1.30355171358402 -1.25933103457626 -1.25242685187934 -1.32572191983518 0.976097670141107 0.89450613537212 1.0484525476941 "Longitudinal"
"4" 0.0882352941176471 "1_damage2836" "damage" -1.30855869544052 -1.31461725105898 -1.44162143110315 -1.44700438336113 -1.41707238482752 -1.45255408234593 -1.30096295500448 -1.2825757871132 -1.27248002402812 -1.35029706571678 0.964301210382962 0.894347413524909 1.03219224855781 "Longitudinal"
"5" 0.117647058823529 "1_damage2836" "damage" -1.33086978194679 -1.33622844788235 -1.46083804082089 -1.44182219017573 -1.43239209191253 -1.46715530731157 -1.29846534840197 -1.30582004971945 -1.29253340050601 -1.37487230045465 0.952597504240997 0.883812796141327 1.01611411297406 "Longitudinal"
"6" 0.147058823529412 "1_damage2836" "damage" -1.35318081072869 -1.35783963180856 -1.48005475796707 -1.43695180882855 -1.44771157448382 -1.48167568638107 -1.29612932984641 -1.32906363174428 -1.31258699774974 -1.39944764359326 0.940970696031218 0.873431450933252 1.01325030550553 "Longitudinal"
"7" 0.176470588235294 "1_damage2836" "damage" -1.37549176513116 -1.37945080533272 -1.49927164267762 -1.43262363277422 -1.46303079706512 -1.49610381373073 -1.29404990548484 -1.35230635918948 -1.33264078518884 -1.42402310692363 0.929398082509625 0.860977819957888 1.0149056490186 "Longitudinal"
"8" 0.205882352941176 "1_damage2836" "damage" -1.39780263561879 -1.40106197651436 -1.51848875870875 -1.42912310080458 -1.47834976144208 -1.51043855320204 -1.29234797412559 -1.37554807594624 -1.35269469584647 -1.44859870622979 0.917851070753128 0.847534856756775 1.01626194610161 "Longitudinal"
"9" 0.235294117647059 "1_damage2836" "damage" -1.42011342335402 -1.42267315975748 -1.53770616383319 -1.42676828137758 -1.49366851580569 -1.52469092165565 -1.29117109635538 -1.39878863981499 -1.37274864725242 -1.47317448162319 0.906296953832692 0.83425617508016 1.01720058797992 "Longitudinal"
"10" 0.264705882352941 "1_damage2836" "damage" -1.44242414143083 -1.44428437548355 -1.55692390094877 -1.42588108694247 -1.5089871559208 -1.5388859490607 -1.29069356903598 -1.42202792060064 -1.39280256486104 -1.4977505225056 0.894701129139249 0.821141159797584 1.01758162845779 "Longitudinal"
