"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"113" ".00121770" 17 0 0 ".0012" 7
"114" ".00121770" 12 1 1 ".0012" 7
"115" ".00121770" 0 2 2 ".0012" 7
"116" ".00121770" 0 3 3 ".0012" 7
"117" ".00121770" 3 4 4 ".0012" 7
"118" ".00121770" 40 5 5 ".0012" 7
"119" ".00121770" 15 6 6 ".0012" 7
"330" ".00121801" 2 0 0 ".0012" 7
"331" ".00121801" 3 1 1 ".0012" 7
"332" ".00121801" 10 2 2 ".0012" 7
"333" ".00121801" 8 3 3 ".0012" 7
"334" ".00121801" 8 4 4 ".0012" 7
"335" ".00121801" 25 5 5 ".0012" 7
"336" ".00121801" 3 6 6 ".0012" 7
"393" ".00121810" 27 0 0 ".0012" 7
"394" ".00121810" 40 1 1 ".0012" 7
"395" ".00121810" 40 2 2 ".0012" 7
"396" ".00121810" 40 3 3 ".0012" 7
"397" ".00121810" 3 4 4 ".0012" 7
"398" ".00121810" 27 5 5 ".0012" 7
"399" ".00121810" 11 6 6 ".0012" 7
"428" ".00121815" 17 0 0 ".0012" 7
"429" ".00121815" 40 1 1 ".0012" 7
"430" ".00121815" 22 2 2 ".0012" 7
"431" ".00121815" 1 3 3 ".0012" 7
"432" ".00121815" 16 4 4 ".0012" 7
"433" ".00121815" 7 5 5 ".0012" 7
"434" ".00121815" 6 6 6 ".0012" 7
"540" ".00121831" 1 0 0 ".0012" 7
"541" ".00121831" 4 1 1 ".0012" 7
"542" ".00121831" 2 2 2 ".0012" 7
"543" ".00121831" 40 3 3 ".0012" 7
"544" ".00121831" 13 4 4 ".0012" 7
"545" ".00121831" 6 5 5 ".0012" 7
"546" ".00121831" 4 6 6 ".0012" 7
"659" ".00121848" 40 0 0 ".0012" 7
"660" ".00121848" 17 1 1 ".0012" 7
"661" ".00121848" 40 2 2 ".0012" 7
"662" ".00121848" 21 3 3 ".0012" 7
"663" ".00121848" 40 4 4 ".0012" 7
"664" ".00121848" 0 5 5 ".0012" 7
"665" ".00121848" 27 6 6 ".0012" 7
"890" ".00121881" 24 0 0 ".0012" 7
"891" ".00121881" 5 1 1 ".0012" 7
"892" ".00121881" 1 2 2 ".0012" 7
"893" ".00121881" 3 3 3 ".0012" 7
"894" ".00121881" 13 4 4 ".0012" 7
"895" ".00121881" 29 5 5 ".0012" 7
"896" ".00121881" 40 6 6 ".0012" 7
"904" ".00121883" 0 0 0 ".0012" 7
"905" ".00121883" 1 1 1 ".0012" 7
"906" ".00121883" 0 2 2 ".0012" 7
"907" ".00121883" 0 3 3 ".0012" 7
"908" ".00121883" 1 4 4 ".0012" 7
"909" ".00121883" 36 5 5 ".0012" 7
"910" ".00121883" 1 6 6 ".0012" 7
"932" ".00121887" 6 0 0 ".0012" 7
"933" ".00121887" 3 1 1 ".0012" 7
"934" ".00121887" 40 2 2 ".0012" 7
"935" ".00121887" 0 3 3 ".0012" 7
"936" ".00121887" 1 4 4 ".0012" 7
"937" ".00121887" 3 5 5 ".0012" 7
"938" ".00121887" 0 6 6 ".0012" 7
"967" ".00121892" 17 0 0 ".0012" 7
"968" ".00121892" 11 1 1 ".0012" 7
"969" ".00121892" 12 2 2 ".0012" 7
"970" ".00121892" 8 3 3 ".0012" 7
"971" ".00121892" 40 4 4 ".0012" 7
"972" ".00121892" 5 5 5 ".0012" 7
"973" ".00121892" 3 6 6 ".0012" 7
"1142" ".00121917" 40 0 0 ".0012" 7
"1143" ".00121917" 40 1 1 ".0012" 7
"1144" ".00121917" 40 2 2 ".0012" 7
"1145" ".00121917" 4 3 3 ".0012" 7
"1146" ".00121917" 5 4 4 ".0012" 7
"1147" ".00121917" 5 5 5 ".0012" 7
"1148" ".00121917" 13 6 6 ".0012" 7
"1177" ".00121922" 1 0 0 ".0012" 7
"1178" ".00121922" 1 1 1 ".0012" 7
"1179" ".00121922" 4 2 2 ".0012" 7
"1180" ".00121922" 7 3 3 ".0012" 7
"1181" ".00121922" 16 4 4 ".0012" 7
"1182" ".00121922" 1 5 5 ".0012" 7
"1183" ".00121922" 3 6 6 ".0012" 7
"1247" ".00121932" 21 0 0 ".0012" 7
"1248" ".00121932" 5 1 1 ".0012" 7
"1249" ".00121932" 40 2 2 ".0012" 7
"1250" ".00121932" 40 3 3 ".0012" 7
"1251" ".00121932" 0 4 4 ".0012" 7
"1252" ".00121932" 0 5 5 ".0012" 7
"1253" ".00121932" 40 6 6 ".0012" 7
"1426" ".00121956" 0 0 0 ".0012" 8
"1427" ".00121956" 40 1 1 ".0012" 8
"1428" ".00121956" 0 2 2 ".0012" 8
"1429" ".00121956" 21 3 3 ".0012" 8
"1430" ".00121956" 1 4 4 ".0012" 8
"1431" ".00121956" 40 5 5 ".0012" 8
"1432" ".00121956" 7 6 6 ".0012" 8
"1433" ".00121956" 2 7 7 ".0012" 8
"1490" ".00121964" 3 0 0 ".0012" 8
"1491" ".00121964" 7 1 1 ".0012" 8
"1492" ".00121964" 1 2 2 ".0012" 8
"1493" ".00121964" 1 3 3 ".0012" 8
"1494" ".00121964" 2 4 4 ".0012" 8
"1495" ".00121964" 11 5 5 ".0012" 8
"1496" ".00121964" 2 6 6 ".0012" 8
"1497" ".00121964" 6 7 7 ".0012" 8
"1610" ".00121979" 3 0 0 ".0012" 8
"1611" ".00121979" 6 1 1 ".0012" 8
"1612" ".00121979" 20 2 2 ".0012" 8
"1613" ".00121979" 3 3 3 ".0012" 8
"1614" ".00121979" 40 4 4 ".0012" 8
"1615" ".00121979" 3 5 5 ".0012" 8
"1616" ".00121979" 6 6 6 ".0012" 8
"1617" ".00121979" 0 7 7 ".0012" 8
"1962" ".00122023" 40 0 0 ".0012" 8
"1963" ".00122023" 2 1 1 ".0012" 8
"1964" ".00122023" 4 2 2 ".0012" 8
"1965" ".00122023" 40 3 3 ".0012" 8
"1966" ".00122023" 0 4 4 ".0012" 8
"1967" ".00122023" 13 5 5 ".0012" 8
"1968" ".00122023" 19 6 6 ".0012" 8
"1969" ".00122023" 0 7 7 ".0012" 8
"2010" ".00122029" 0 0 0 ".0012" 8
"2011" ".00122029" 6 1 1 ".0012" 8
"2012" ".00122029" 9 2 2 ".0012" 8
"2013" ".00122029" 1 3 3 ".0012" 8
"2014" ".00122029" 5 4 4 ".0012" 8
"2015" ".00122029" 5 5 5 ".0012" 8
"2016" ".00122029" 14 6 6 ".0012" 8
"2017" ".00122029" 11 7 7 ".0012" 8
"2026" ".00122031" 9 0 0 ".0012" 8
"2027" ".00122031" 40 1 1 ".0012" 8
"2028" ".00122031" 3 2 2 ".0012" 8
"2029" ".00122031" 40 3 3 ".0012" 8
"2030" ".00122031" 7 4 4 ".0012" 8
"2031" ".00122031" 40 5 5 ".0012" 8
"2032" ".00122031" 3 6 6 ".0012" 8
"2033" ".00122031" 4 7 7 ".0012" 8
"2082" ".00122038" 33 0 0 ".0012" 8
"2083" ".00122038" 0 1 1 ".0012" 8
"2084" ".00122038" 16 2 2 ".0012" 8
"2085" ".00122038" 30 3 3 ".0012" 8
"2086" ".00122038" 23 4 4 ".0012" 8
"2087" ".00122038" 40 5 5 ".0012" 8
"2088" ".00122038" 8 6 6 ".0012" 8
"2089" ".00122038" 1 7 7 ".0012" 8
"2106" ".00122041" 2 0 0 ".0012" 8
"2107" ".00122041" 40 1 1 ".0012" 8
"2108" ".00122041" 6 2 2 ".0012" 8
"2109" ".00122041" 40 3 3 ".0012" 8
"2110" ".00122041" 8 4 4 ".0012" 8
"2111" ".00122041" 10 5 5 ".0012" 8
"2112" ".00122041" 2 6 6 ".0012" 8
"2113" ".00122041" 40 7 7 ".0012" 8
"2138" ".00122045" 11 0 0 ".0012" 8
"2139" ".00122045" 0 1 1 ".0012" 8
"2140" ".00122045" 9 2 2 ".0012" 8
"2141" ".00122045" 2 3 3 ".0012" 8
"2142" ".00122045" 1 4 4 ".0012" 8
"2143" ".00122045" 35 5 5 ".0012" 8
"2144" ".00122045" 33 6 6 ".0012" 8
"2145" ".00122045" 8 7 7 ".0012" 8
"2338" ".00122070" 9 0 0 ".0012" 8
"2339" ".00122070" 17 1 1 ".0012" 8
"2340" ".00122070" 10 2 2 ".0012" 8
"2341" ".00122070" 1 3 3 ".0012" 8
"2342" ".00122070" 40 4 4 ".0012" 8
"2343" ".00122070" 7 5 5 ".0012" 8
"2344" ".00122070" 40 6 6 ".0012" 8
"2345" ".00122070" 8 7 7 ".0012" 8
"2394" ".00122077" 2 0 0 ".0012" 8
"2395" ".00122077" 40 1 1 ".0012" 8
"2396" ".00122077" 11 2 2 ".0012" 8
"2397" ".00122077" 0 3 3 ".0012" 8
"2398" ".00122077" 7 4 4 ".0012" 8
"2399" ".00122077" 39 5 5 ".0012" 8
"2400" ".00122077" 7 6 6 ".0012" 8
"2401" ".00122077" 40 7 7 ".0012" 8
"2642" ".00122108" 0 0 0 ".0012" 8
"2643" ".00122108" 5 1 1 ".0012" 8
"2644" ".00122108" 19 2 2 ".0012" 8
"2645" ".00122108" 3 3 3 ".0012" 8
"2646" ".00122108" 0 4 4 ".0012" 8
"2647" ".00122108" 31 5 5 ".0012" 8
"2648" ".00122108" 7 6 6 ".0012" 8
"2649" ".00122108" 3 7 7 ".0012" 8
"2790" ".00122125" 7 0 0 ".0012" 9
"2791" ".00122125" 3 1 1 ".0012" 9
"2792" ".00122125" 2 2 2 ".0012" 9
"2793" ".00122125" 0 3 3 ".0012" 9
"2794" ".00122125" 37 4 4 ".0012" 9
"2795" ".00122125" 0 5 5 ".0012" 9
"2796" ".00122125" 19 6 6 ".0012" 9
"2797" ".00122125" 27 7 7 ".0012" 9
"2798" ".00122125" 2 8 8 ".0012" 9
"3033" ".00122152" 40 0 0 ".0012" 9
"3034" ".00122152" 31 1 1 ".0012" 9
"3035" ".00122152" 6 2 2 ".0012" 9
"3036" ".00122152" 10 3 3 ".0012" 9
"3037" ".00122152" 1 4 4 ".0012" 9
"3038" ".00122152" 0 5 5 ".0012" 9
"3039" ".00122152" 5 6 6 ".0012" 9
"3040" ".00122152" 0 7 7 ".0012" 9
"3041" ".00122152" 6 8 8 ".0012" 9
"3240" ".00122175" 40 0 0 ".0012" 9
"3241" ".00122175" 24 1 1 ".0012" 9
"3242" ".00122175" 0 2 2 ".0012" 9
"3243" ".00122175" 35 3 3 ".0012" 9
"3244" ".00122175" 23 4 4 ".0012" 9
"3245" ".00122175" 3 5 5 ".0012" 9
"3246" ".00122175" 25 6 6 ".0012" 9
"3247" ".00122175" 10 7 7 ".0012" 9
"3248" ".00122175" 9 8 8 ".0012" 9
"3258" ".00122177" 0 0 0 ".0012" 9
"3259" ".00122177" 18 1 1 ".0012" 9
"3260" ".00122177" 1 2 2 ".0012" 9
"3261" ".00122177" 5 3 3 ".0012" 9
"3262" ".00122177" 35 4 4 ".0012" 9
"3263" ".00122177" 15 5 5 ".0012" 9
"3264" ".00122177" 6 6 6 ".0012" 9
"3265" ".00122177" 40 7 7 ".0012" 9
"3266" ".00122177" 29 8 8 ".0012" 9
"3393" ".00122192" 30 0 0 ".0012" 9
"3394" ".00122192" 1 1 1 ".0012" 9
"3395" ".00122192" 2 2 2 ".0012" 9
"3396" ".00122192" 21 3 3 ".0012" 9
"3397" ".00122192" 7 4 4 ".0012" 9
"3398" ".00122192" 5 5 5 ".0012" 9
"3399" ".00122192" 9 6 6 ".0012" 9
"3400" ".00122192" 8 7 7 ".0012" 9
