"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"3401" ".00122192" 0 8 8 ".0012" 9
"3447" ".00122198" 40 0 0 ".0012" 9
"3448" ".00122198" 8 1 1 ".0012" 9
"3449" ".00122198" 2 2 2 ".0012" 9
"3450" ".00122198" 40 3 3 ".0012" 9
"3451" ".00122198" 40 4 4 ".0012" 9
"3452" ".00122198" 12 5 5 ".0012" 9
"3453" ".00122198" 40 6 6 ".0012" 9
"3454" ".00122198" 9 7 7 ".0012" 9
"3455" ".00122198" 6 8 8 ".0012" 9
"3465" ".00122200" 27 0 0 ".0012" 9
"3466" ".00122200" 7 1 1 ".0012" 9
"3467" ".00122200" 3 2 2 ".0012" 9
"3468" ".00122200" 9 3 3 ".0012" 9
"3469" ".00122200" 7 4 4 ".0012" 9
"3470" ".00122200" 0 5 5 ".0012" 9
"3471" ".00122200" 5 6 6 ".0012" 9
"3472" ".00122200" 1 7 7 ".0012" 9
"3473" ".00122200" 9 8 8 ".0012" 9
"3573" ".00122212" 17 0 0 ".0012" 9
"3574" ".00122212" 16 1 1 ".0012" 9
"3575" ".00122212" 3 2 2 ".0012" 9
"3576" ".00122212" 40 3 3 ".0012" 9
"3577" ".00122212" 15 4 4 ".0012" 9
"3578" ".00122212" 39 5 5 ".0012" 9
"3579" ".00122212" 1 6 6 ".0012" 9
"3580" ".00122212" 9 7 7 ".0012" 9
"3581" ".00122212" 20 8 8 ".0012" 9
"3717" ".00122228" 7 0 0 ".0012" 9
"3718" ".00122228" 10 1 1 ".0012" 9
"3719" ".00122228" 8 2 2 ".0012" 9
"3720" ".00122228" 40 3 3 ".0012" 9
"3721" ".00122228" 36 4 4 ".0012" 9
"3722" ".00122228" 0 5 5 ".0012" 9
"3723" ".00122228" 40 6 6 ".0012" 9
"3724" ".00122228" 14 7 7 ".0012" 9
"3725" ".00122228" 6 8 8 ".0012" 9
"3762" ".00122233" 40 0 0 ".0012" 9
"3763" ".00122233" 0 1 1 ".0012" 9
"3764" ".00122233" 4 2 2 ".0012" 9
"3765" ".00122233" 0 3 3 ".0012" 9
"3766" ".00122233" 1 4 4 ".0012" 9
"3767" ".00122233" 17 5 5 ".0012" 9
"3768" ".00122233" 0 6 6 ".0012" 9
"3769" ".00122233" 7 7 7 ".0012" 9
"3770" ".00122233" 10 8 8 ".0012" 9
"3996" ".00122259" 3 0 0 ".0012" 9
"3997" ".00122259" 0 1 1 ".0012" 9
"3998" ".00122259" 29 2 2 ".0012" 9
"3999" ".00122259" 10 3 3 ".0012" 9
"4000" ".00122259" 7 4 4 ".0012" 9
"4001" ".00122259" 10 5 5 ".0012" 9
"4002" ".00122259" 8 6 6 ".0012" 9
"4003" ".00122259" 10 7 7 ".0012" 9
"4004" ".00122259" 6 8 8 ".0012" 9
"4249" ".00122285" 17 0 0 ".0012" 10
"4250" ".00122285" 9 1 1 ".0012" 10
"4251" ".00122285" 0 2 2 ".0012" 10
"4252" ".00122285" 25 3 3 ".0012" 10
"4253" ".00122285" 8 4 4 ".0012" 10
"4254" ".00122285" 36 5 5 ".0012" 10
"4255" ".00122285" 26 6 6 ".0012" 10
"4256" ".00122285" 4 7 7 ".0012" 10
"4257" ".00122285" 2 8 8 ".0012" 10
"4258" ".00122285" 6 9 9 ".0012" 10
"4649" ".00122325" 32 0 0 ".0012" 10
"4650" ".00122325" 20 1 1 ".0012" 10
"4651" ".00122325" 6 2 2 ".0012" 10
"4652" ".00122325" 1 3 3 ".0012" 10
"4653" ".00122325" 20 4 4 ".0012" 10
"4654" ".00122325" 2 5 5 ".0012" 10
"4655" ".00122325" 15 6 6 ".0012" 10
"4656" ".00122325" 26 7 7 ".0012" 10
"4657" ".00122325" 26 8 8 ".0012" 10
"4658" ".00122325" 0 9 9 ".0012" 10
"4669" ".00122327" 6 0 0 ".0012" 10
"4670" ".00122327" 3 1 1 ".0012" 10
"4671" ".00122327" 5 2 2 ".0012" 10
"4672" ".00122327" 5 3 3 ".0012" 10
"4673" ".00122327" 3 4 4 ".0012" 10
"4674" ".00122327" 40 5 5 ".0012" 10
"4675" ".00122327" 6 6 6 ".0012" 10
"4676" ".00122327" 16 7 7 ".0012" 10
"4677" ".00122327" 22 8 8 ".0012" 10
"4678" ".00122327" 2 9 9 ".0012" 10
"4869" ".00122347" 40 0 0 ".0012" 10
"4870" ".00122347" 15 1 1 ".0012" 10
"4871" ".00122347" 1 2 2 ".0012" 10
"4872" ".00122347" 8 3 3 ".0012" 10
"4873" ".00122347" 17 4 4 ".0012" 10
"4874" ".00122347" 3 5 5 ".0012" 10
"4875" ".00122347" 40 6 6 ".0012" 10
"4876" ".00122347" 1 7 7 ".0012" 10
"4877" ".00122347" 2 8 8 ".0012" 10
"4878" ".00122347" 0 9 9 ".0012" 10
"5119" ".00122372" 1 0 0 ".0012" 10
"5120" ".00122372" 0 1 1 ".0012" 10
"5121" ".00122372" 5 2 2 ".0012" 10
"5122" ".00122372" 34 3 3 ".0012" 10
"5123" ".00122372" 9 4 4 ".0012" 10
"5124" ".00122372" 0 5 5 ".0012" 10
"5125" ".00122372" 19 6 6 ".0012" 10
"5126" ".00122372" 4 7 7 ".0012" 10
"5127" ".00122372" 18 8 8 ".0012" 10
"5128" ".00122372" 16 9 9 ".0012" 10
"5209" ".00122381" 15 0 0 ".0012" 10
"5210" ".00122381" 40 1 1 ".0012" 10
"5211" ".00122381" 0 2 2 ".0012" 10
"5212" ".00122381" 0 3 3 ".0012" 10
"5213" ".00122381" 28 4 4 ".0012" 10
"5214" ".00122381" 40 5 5 ".0012" 10
"5215" ".00122381" 7 6 6 ".0012" 10
"5216" ".00122381" 7 7 7 ".0012" 10
"5217" ".00122381" 1 8 8 ".0012" 10
"5218" ".00122381" 14 9 9 ".0012" 10
"5239" ".00122384" 6 0 0 ".0012" 10
"5240" ".00122384" 2 1 1 ".0012" 10
"5241" ".00122384" 26 2 2 ".0012" 10
"5242" ".00122384" 14 3 3 ".0012" 10
"5243" ".00122384" 5 4 4 ".0012" 10
"5244" ".00122384" 1 5 5 ".0012" 10
"5245" ".00122384" 8 6 6 ".0012" 10
"5246" ".00122384" 1 7 7 ".0012" 10
"5247" ".00122384" 15 8 8 ".0012" 10
"5248" ".00122384" 20 9 9 ".0012" 10
"5409" ".00122401" 40 0 0 ".0012" 10
"5410" ".00122401" 12 1 1 ".0012" 10
"5411" ".00122401" 9 2 2 ".0012" 10
"5412" ".00122401" 2 3 3 ".0012" 10
"5413" ".00122401" 21 4 4 ".0012" 10
"5414" ".00122401" 9 5 5 ".0012" 10
"5415" ".00122401" 20 6 6 ".0012" 10
"5416" ".00122401" 5 7 7 ".0012" 10
"5417" ".00122401" 2 8 8 ".0012" 10
"5418" ".00122401" 5 9 9 ".0012" 10
"5669" ".00122427" 10 0 0 ".0012" 10
"5670" ".00122427" 5 1 1 ".0012" 10
"5671" ".00122427" 18 2 2 ".0012" 10
"5672" ".00122427" 40 3 3 ".0012" 10
"5673" ".00122427" 10 4 4 ".0012" 10
"5674" ".00122427" 9 5 5 ".0012" 10
"5675" ".00122427" 19 6 6 ".0012" 10
"5676" ".00122427" 12 7 7 ".0012" 10
"5677" ".00122427" 40 8 8 ".0012" 10
"5678" ".00122427" 5 9 9 ".0012" 10
"5731" ".00122433" 40 0 0 ".0012" 11
"5732" ".00122433" 27 1 1 ".0012" 11
"5733" ".00122433" 1 2 2 ".0012" 11
"5734" ".00122433" 37 3 3 ".0012" 11
"5735" ".00122433" 13 4 4 ".0012" 11
"5736" ".00122433" 37 5 5 ".0012" 11
"5737" ".00122433" 5 6 6 ".0012" 11
"5738" ".00122433" 25 7 7 ".0012" 11
"5739" ".00122433" 36 8 8 ".0012" 11
"5740" ".00122433" 6 9 9 ".0012" 11
"5741" ".00122433" 40 10 10 ".0012" 11
"5742" ".00122434" 7 0 0 ".0012" 11
"5743" ".00122434" 0 1 1 ".0012" 11
"5744" ".00122434" 20 2 2 ".0012" 11
"5745" ".00122434" 0 3 3 ".0012" 11
"5746" ".00122434" 16 4 4 ".0012" 11
"5747" ".00122434" 25 5 5 ".0012" 11
"5748" ".00122434" 7 6 6 ".0012" 11
"5749" ".00122434" 6 7 7 ".0012" 11
"5750" ".00122434" 12 8 8 ".0012" 11
"5751" ".00122434" 10 9 9 ".0012" 11
"5752" ".00122434" 5 10 10 ".0012" 11
"5808" ".00122440" 19 0 0 ".0012" 11
"5809" ".00122440" 2 1 1 ".0012" 11
"5810" ".00122440" 1 2 2 ".0012" 11
"5811" ".00122440" 0 3 3 ".0012" 11
"5812" ".00122440" 4 4 4 ".0012" 11
"5813" ".00122440" 7 5 5 ".0012" 11
"5814" ".00122440" 3 6 6 ".0012" 11
"5815" ".00122440" 24 7 7 ".0012" 11
"5816" ".00122440" 12 8 8 ".0012" 11
"5817" ".00122440" 15 9 9 ".0012" 11
"5818" ".00122440" 19 10 10 ".0012" 11
"5907" ".00122449" 40 0 0 ".0012" 11
"5908" ".00122449" 12 1 1 ".0012" 11
"5909" ".00122449" 40 2 2 ".0012" 11
"5910" ".00122449" 6 3 3 ".0012" 11
"5911" ".00122449" 16 4 4 ".0012" 11
"5912" ".00122449" 22 5 5 ".0012" 11
"5913" ".00122449" 11 6 6 ".0012" 11
"5914" ".00122449" 12 7 7 ".0012" 11
"5915" ".00122449" 20 8 8 ".0012" 11
"5916" ".00122449" 22 9 9 ".0012" 11
"5917" ".00122449" 14 10 10 ".0012" 11
"5918" ".00122450" 40 0 0 ".0012" 11
"5919" ".00122450" 40 1 1 ".0012" 11
"5920" ".00122450" 5 2 2 ".0012" 11
"5921" ".00122450" 14 3 3 ".0012" 11
"5922" ".00122450" 18 4 4 ".0012" 11
"5923" ".00122450" 40 5 5 ".0012" 11
"5924" ".00122450" 2 6 6 ".0012" 11
"5925" ".00122450" 40 7 7 ".0012" 11
"5926" ".00122450" 40 8 8 ".0012" 11
"5927" ".00122450" 1 9 9 ".0012" 11
"5928" ".00122450" 7 10 10 ".0012" 11
"6171" ".00122473" 7 0 0 ".0012" 11
"6172" ".00122473" 40 1 1 ".0012" 11
"6173" ".00122473" 1 2 2 ".0012" 11
"6174" ".00122473" 12 3 3 ".0012" 11
"6175" ".00122473" 3 4 4 ".0012" 11
"6176" ".00122473" 36 5 5 ".0012" 11
"6177" ".00122473" 9 6 6 ".0012" 11
"6178" ".00122473" 20 7 7 ".0012" 11
"6179" ".00122473" 40 8 8 ".0012" 11
"6180" ".00122473" 1 9 9 ".0012" 11
"6181" ".00122473" 40 10 10 ".0012" 11
"6182" ".00122474" 2 0 0 ".0012" 11
"6183" ".00122474" 0 1 1 ".0012" 11
"6184" ".00122474" 36 2 2 ".0012" 11
"6185" ".00122474" 8 3 3 ".0012" 11
"6186" ".00122474" 2 4 4 ".0012" 11
"6187" ".00122474" 2 5 5 ".0012" 11
"6188" ".00122474" 0 6 6 ".0012" 11
"6189" ".00122474" 7 7 7 ".0012" 11
"6190" ".00122474" 37 8 8 ".0012" 11
"6191" ".00122474" 2 9 9 ".0012" 11
"6192" ".00122474" 10 10 10 ".0012" 11
"6314" ".00122486" 2 0 0 ".0012" 11
"6315" ".00122486" 1 1 1 ".0012" 11
"6316" ".00122486" 40 2 2 ".0012" 11
"6317" ".00122486" 5 3 3 ".0012" 11
"6318" ".00122486" 40 4 4 ".0012" 11
"6319" ".00122486" 0 5 5 ".0012" 11
"6320" ".00122486" 1 6 6 ".0012" 11
"6321" ".00122486" 14 7 7 ".0012" 11
"6322" ".00122486" 17 8 8 ".0012" 11
"6323" ".00122486" 14 9 9 ".0012" 11
"6324" ".00122486" 12 10 10 ".0012" 11
"6358" ".00122490" 0 0 0 ".0012" 11
"6359" ".00122490" 4 1 1 ".0012" 11
"6360" ".00122490" 21 2 2 ".0012" 11
"6361" ".00122490" 1 3 3 ".0012" 11
"6362" ".00122490" 40 4 4 ".0012" 11
"6363" ".00122490" 18 5 5 ".0012" 11
"6364" ".00122490" 11 6 6 ".0012" 11
"6365" ".00122490" 37 7 7 ".0012" 11
"6366" ".00122490" 15 8 8 ".0012" 11
"6367" ".00122490" 4 9 9 ".0012" 11
"6368" ".00122490" 37 10 10 ".0012" 11
"6501" ".00122503" 10 0 0 ".0012" 11
"6502" ".00122503" 22 1 1 ".0012" 11
"6503" ".00122503" 20 2 2 ".0012" 11
"6504" ".00122503" 2 3 3 ".0012" 11
"6505" ".00122503" 3 4 4 ".0012" 11
"6506" ".00122503" 40 5 5 ".0012" 11
"6507" ".00122503" 40 6 6 ".0012" 11
"6508" ".00122503" 40 7 7 ".0012" 11
"6509" ".00122503" 29 8 8 ".0012" 11
"6510" ".00122503" 4 9 9 ".0012" 11
"6511" ".00122503" 0 10 10 ".0012" 11
"6644" ".00122516" 0 0 0 ".0012" 11
"6645" ".00122516" 1 1 1 ".0012" 11
"6646" ".00122516" 2 2 2 ".0012" 11
"6647" ".00122516" 0 3 3 ".0012" 11
"6648" ".00122516" 0 4 4 ".0012" 11
"6649" ".00122516" 9 5 5 ".0012" 11
"6650" ".00122516" 5 6 6 ".0012" 11
"6651" ".00122516" 4 7 7 ".0012" 11
"6652" ".00122516" 20 8 8 ".0012" 11
"6653" ".00122516" 2 9 9 ".0012" 11
"6654" ".00122516" 4 10 10 ".0012" 11
"6875" ".00122537" 0 0 0 ".0012" 11
"6876" ".00122537" 6 1 1 ".0012" 11
"6877" ".00122537" 39 2 2 ".0012" 11
"6878" ".00122537" 16 3 3 ".0012" 11
"6879" ".00122537" 2 4 4 ".0012" 11
"6880" ".00122537" 14 5 5 ".0012" 11
"6881" ".00122537" 0 6 6 ".0012" 11
"6882" ".00122537" 40 7 7 ".0012" 11
"6883" ".00122537" 0 8 8 ".0012" 11
"6884" ".00122537" 2 9 9 ".0012" 11
"6885" ".00122537" 40 10 10 ".0012" 11
"7086" ".00122556" 7 0 0 ".0012" 12
"7087" ".00122556" 7 1 1 ".0012" 12
"7088" ".00122556" 0 2 2 ".0012" 12
"7089" ".00122556" 1 3 3 ".0012" 12
"7090" ".00122556" 15 4 4 ".0012" 12
"7091" ".00122556" 12 5 5 ".0012" 12
"7092" ".00122556" 1 6 6 ".0012" 12
"7093" ".00122556" 10 7 7 ".0012" 12
"7094" ".00122556" 8 8 8 ".0012" 12
"7095" ".00122556" 9 9 9 ".0012" 12
"7096" ".00122556" 9 10 10 ".0012" 12
"7097" ".00122556" 2 11 11 ".0012" 12
"7182" ".00122564" 8 0 0 ".0012" 12
"7183" ".00122564" 40 1 1 ".0012" 12
"7184" ".00122564" 40 2 2 ".0012" 12
"7185" ".00122564" 2 3 3 ".0012" 12
"7186" ".00122564" 40 4 4 ".0012" 12
"7187" ".00122564" 13 5 5 ".0012" 12
"7188" ".00122564" 3 6 6 ".0012" 12
"7189" ".00122564" 14 7 7 ".0012" 12
"7190" ".00122564" 40 8 8 ".0012" 12
"7191" ".00122564" 1 9 9 ".0012" 12
"7192" ".00122564" 4 10 10 ".0012" 12
"7193" ".00122564" 40 11 11 ".0012" 12
"7470" ".00122588" 6 0 0 ".0012" 12
"7471" ".00122588" 5 1 1 ".0012" 12
"7472" ".00122588" 4 2 2 ".0012" 12
"7473" ".00122588" 6 3 3 ".0012" 12
"7474" ".00122588" 17 4 4 ".0012" 12
"7475" ".00122588" 27 5 5 ".0012" 12
"7476" ".00122588" 40 6 6 ".0012" 12
"7477" ".00122588" 0 7 7 ".0012" 12
"7478" ".00122588" 0 8 8 ".0012" 12
"7479" ".00122588" 6 9 9 ".0012" 12
"7480" ".00122588" 40 10 10 ".0012" 12
"7481" ".00122588" 10 11 11 ".0012" 12
"7818" ".00122617" 24 0 0 ".0012" 12
"7819" ".00122617" 5 1 1 ".0012" 12
"7820" ".00122617" 5 2 2 ".0012" 12
"7821" ".00122617" 25 3 3 ".0012" 12
"7822" ".00122617" 9 4 4 ".0012" 12
"7823" ".00122617" 0 5 5 ".0012" 12
"7824" ".00122617" 7 6 6 ".0012" 12
"7825" ".00122617" 40 7 7 ".0012" 12
"7826" ".00122617" 17 8 8 ".0012" 12
"7827" ".00122617" 10 9 9 ".0012" 12
"7828" ".00122617" 40 10 10 ".0012" 12
"7829" ".00122617" 31 11 11 ".0012" 12
"8142" ".00122644" 0 0 0 ".0012" 12
"8143" ".00122644" 12 1 1 ".0012" 12
"8144" ".00122644" 8 2 2 ".0012" 12
