"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"15" ".0013591" 25 0 0 ".001" 7
"16" ".0013591" 40 1 1 ".001" 7
"17" ".0013591" 40 2 2 ".001" 7
"18" ".0013591" 36 3 3 ".001" 7
"19" ".0013591" 17 4 4 ".001" 7
"20" ".0013591" 13 5 5 ".001" 7
"21" ".0013591" 23 6 6 ".001" 7
"43" ".0013595" 26 0 0 ".001" 7
"44" ".0013595" 8 1 1 ".001" 7
"45" ".0013595" 13 2 2 ".001" 7
"46" ".0013595" 1 3 3 ".001" 7
"47" ".0013595" 12 4 4 ".001" 7
"48" ".0013595" 15 5 5 ".001" 7
"49" ".0013595" 40 6 6 ".001" 7
"127" ".0013607" 40 0 0 ".001" 7
"128" ".0013607" 40 1 1 ".001" 7
"129" ".0013607" 5 2 2 ".001" 7
"130" ".0013607" 40 3 3 ".001" 7
"131" ".0013607" 40 4 4 ".001" 7
"132" ".0013607" 12 5 5 ".001" 7
"133" ".0013607" 19 6 6 ".001" 7
"169" ".0013613" 40 0 0 ".001" 7
"170" ".0013613" 9 1 1 ".001" 7
"171" ".0013613" 5 2 2 ".001" 7
"172" ".0013613" 13 3 3 ".001" 7
"173" ".0013613" 8 4 4 ".001" 7
"174" ".0013613" 11 5 5 ".001" 7
"175" ".0013613" 23 6 6 ".001" 7
"351" ".0013639" 40 0 0 ".001" 7
"352" ".0013639" 15 1 1 ".001" 7
"353" ".0013639" 17 2 2 ".001" 7
"354" ".0013639" 3 3 3 ".001" 7
"355" ".0013639" 19 4 4 ".001" 7
"356" ".0013639" 1 5 5 ".001" 7
"357" ".0013639" 35 6 6 ".001" 7
"372" ".0013642" 34 0 0 ".001" 7
"373" ".0013642" 40 1 1 ".001" 7
"374" ".0013642" 32 2 2 ".001" 7
"375" ".0013642" 19 3 3 ".001" 7
"376" ".0013642" 3 4 4 ".001" 7
"377" ".0013642" 0 5 5 ".001" 7
"378" ".0013642" 6 6 6 ".001" 7
"428" ".0013650" 40 0 0 ".001" 7
"429" ".0013650" 40 1 1 ".001" 7
"430" ".0013650" 1 2 2 ".001" 7
"431" ".0013650" 15 3 3 ".001" 7
"432" ".0013650" 3 4 4 ".001" 7
"433" ".0013650" 2 5 5 ".001" 7
"434" ".0013650" 40 6 6 ".001" 7
"442" ".0013652" 8 0 0 ".001" 7
"443" ".0013652" 18 1 1 ".001" 7
"444" ".0013652" 40 2 2 ".001" 7
"445" ".0013652" 0 3 3 ".001" 7
"446" ".0013652" 22 4 4 ".001" 7
"447" ".0013652" 23 5 5 ".001" 7
"448" ".0013652" 26 6 6 ".001" 7
"759" ".0013693" 40 0 0 ".001" 8
"760" ".0013693" 40 1 1 ".001" 8
"761" ".0013693" 40 2 2 ".001" 8
"762" ".0013693" 30 3 3 ".001" 8
"763" ".0013693" 0 4 4 ".001" 8
"764" ".0013693" 20 5 5 ".001" 8
"765" ".0013693" 4 6 6 ".001" 8
"766" ".0013693" 3 7 7 ".001" 8
"799" ".0013698" 40 0 0 ".001" 8
"800" ".0013698" 12 1 1 ".001" 8
"801" ".0013698" 5 2 2 ".001" 8
"802" ".0013698" 15 3 3 ".001" 8
