"maternalAge" "scenario" "rep1" "rep10" "rep2" "rep3" "rep4" "rep5" "rep6" "rep7" "rep8" "rep9" "mean" "min" "max"
"296" 37 "quality" 483 385 400 408 454 476 428 430 464 464 439.2 385 483
"297" 38 "quality" 475 377 392 397 437 466 420 421 458 458 430.1 377 475
"298" 39 "quality" 466 369 389 388 428 459 414 415 450 448 422.6 369 466
"299" 0 "qualityResource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"300" 1 "qualityResource" 3033 2947 3092 2953 2956 2963 3182 3135 2886 3139 3028.6 2886 3182
"301" 2 "qualityResource" 2210 2170 2293 2131 2160 2120 2362 2360 2110 2325 2224.1 2110 2362
"302" 3 "qualityResource" 1758 1743 1814 1682 1734 1678 1855 1869 1650 1832 1761.5 1650 1869
"303" 4 "qualityResource" 1424 1441 1469 1400 1446 1370 1520 1521 1387 1483 1446.1 1370 1521
"304" 5 "qualityResource" 1188 1213 1242 1193 1236 1171 1269 1293 1161 1237 1220.3 1161 1293
"305" 6 "qualityResource" 996 1018 1057 1025 1067 992 1056 1059 1028 1045 1034.3 992 1067
"306" 7 "qualityResource" 871 899 913 903 915 871 894 908 918 897 898.9 871 918
"307" 8 "qualityResource" 732 800 808 799 810 764 778 759 804 759 781.3 732 810
"308" 9 "qualityResource" 640 703 718 708 724 670 653 656 720 661 685.3 640 724
"309" 10 "qualityResource" 571 634 629 632 637 593 565 562 636 576 603.5 562 637
"310" 11 "qualityResource" 494 572 555 558 564 540 482 477 568 509 531.9 477 572
"311" 12 "qualityResource" 440 516 491 509 492 475 416 428 504 451 472.2 416 516
"312" 13 "qualityResource" 385 452 428 451 433 428 360 374 442 404 415.7 360 452
"313" 14 "qualityResource" 342 399 384 406 387 383 314 320 390 356 368.1 314 406
"314" 15 "qualityResource" 301 349 345 356 342 342 285 283 355 323 328.1 283 356
"315" 16 "qualityResource" 267 303 302 324 301 305 239 236 319 299 289.5 236 324
"316" 17 "qualityResource" 230 264 262 291 274 263 206 212 294 256 255.2 206 294
"317" 18 "qualityResource" 202 234 228 269 259 223 182 184 263 228 227.2 182 269
"318" 19 "qualityResource" 181 216 194 240 233 198 158 154 239 198 201.1 154 240
"319" 20 "qualityResource" 161 200 179 214 215 171 135 131 211 177 179.4 131 215
"320" 21 "qualityResource" 141 180 154 189 193 157 120 110 192 159 159.5 110 193
"321" 22 "qualityResource" 121 157 135 168 173 146 109 97 170 140 141.6 97 173
"322" 23 "qualityResource" 111 140 111 150 152 139 93 89 150 128 126.3 89 152
"323" 24 "qualityResource" 93 122 100 132 135 123 79 78 132 110 110.4 78 135
"324" 25 "qualityResource" 84 115 90 118 124 101 70 66 122 96 98.6 66 124
"325" 26 "qualityResource" 68 100 81 107 111 87 60 58 110 84 86.6 58 111
"326" 27 "qualityResource" 58 90 67 88 100 75 51 49 99 71 74.8 49 100
"327" 28 "qualityResource" 53 84 57 74 92 70 43 39 86 63 66.1 39 92
"328" 29 "qualityResource" 43 72 47 65 79 60 37 33 69 55 56 33 79
"329" 30 "qualityResource" 35 63 40 51 76 53 27 30 60 46 48.1 27 76
"330" 31 "qualityResource" 0 58 34 45 0 46 21 26 54 35 31.9 0 58
"331" 32 "qualityResource" 0 51 29 40 0 39 16 22 50 33 28 0 51
"332" 33 "qualityResource" 0 42 22 35 0 31 14 17 44 30 23.5 0 44
"333" 34 "qualityResource" 0 32 19 31 0 25 11 14 43 23 19.8 0 43
"334" 35 "qualityResource" 0 28 17 0 0 21 9 12 0 20 10.7 0 28
"335" 36 "qualityResource" 0 22 10 0 0 15 0 9 0 17 7.3 0 22
"336" 37 "qualityResource" 0 16 9 0 0 13 0 8 0 15 6.1 0 16
"337" 38 "qualityResource" 0 15 9 0 0 12 0 0 0 13 4.9 0 15
"338" 39 "qualityResource" 0 14 7 0 0 0 0 0 0 0 2.1 0 14
"339" 0 "resource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"340" 1 "resource" 4173 4176 4189 4182 4197 4205 4223 4201 4190 4235 4197.1 4173 4235
"341" 2 "resource" 3509 3517 3535 3533 3540 3557 3549 3557 3505 3612 3541.4 3505 3612
"342" 3 "resource" 2981 2971 2999 2988 3027 3028 2984 3019 2947 3039 2998.3 2947 3039
"343" 4 "resource" 2525 2522 2592 2504 2563 2584 2484 2536 2472 2578 2536 2472 2592
"344" 5 "resource" 2123 2131 2182 2105 2145 2196 2115 2145 2088 2187 2141.7 2088 2196
"345" 6 "resource" 1817 1811 1874 1780 1820 1840 1764 1842 1781 1875 1820.4 1764 1875
"346" 7 "resource" 1518 1555 1589 1491 1549 1587 1496 1557 1548 1572 1546.2 1491 1589
"347" 8 "resource" 1278 1335 1381 1277 1310 1338 1304 1335 1328 1311 1319.7 1277 1381
"348" 9 "resource" 1086 1126 1146 1092 1126 1154 1102 1151 1122 1084 1118.9 1084 1154
"349" 10 "resource" 951 976 978 929 949 975 926 1010 983 931 960.8 926 1010
"350" 11 "resource" 815 814 843 789 826 838 784 868 841 801 821.9 784 868
"351" 12 "resource" 710 683 729 664 698 727 666 744 718 695 703.4 664 744
"352" 13 "resource" 625 587 633 567 591 619 558 638 613 608 603.9 558 638
"353" 14 "resource" 539 504 561 481 497 536 487 534 507 515 516.1 481 561
"354" 15 "resource" 475 450 485 399 422 459 423 446 436 435 443 399 485
"355" 16 "resource" 405 383 405 344 364 395 357 390 374 368 378.5 344 405
"356" 17 "resource" 346 334 348 302 316 334 300 330 336 306 325.2 300 348
"357" 18 "resource" 304 278 295 249 262 297 266 279 295 265 279 249 304
"358" 19 "resource" 260 245 251 224 224 254 228 239 245 220 239 220 260
"359" 20 "resource" 230 198 210 192 192 212 202 207 221 191 205.5 191 230
"360" 21 "resource" 190 165 181 163 166 176 178 180 192 165 175.6 163 192
"361" 22 "resource" 166 146 160 140 151 141 163 154 166 136 152.3 136 166
"362" 23 "resource" 149 122 139 118 136 121 131 126 141 112 129.5 112 149
"363" 24 "resource" 120 103 115 99 119 103 114 100 124 90 108.7 90 124
"364" 25 "resource" 100 89 101 83 107 81 93 88 99 75 91.6 75 107
"365" 26 "resource" 86 74 89 65 95 69 84 79 81 67 78.9 65 95
"366" 27 "resource" 74 64 75 55 79 57 66 72 68 59 66.9 55 79
"367" 28 "resource" 64 57 62 47 64 51 59 54 52 49 55.9 47 64
"368" 29 "resource" 51 53 57 42 55 38 49 48 48 41 48.2 38 57
"369" 30 "resource" 35 50 44 34 50 35 38 40 40 35 40.1 34 50
"370" 31 "resource" 29 39 40 25 40 33 31 35 38 28 33.8 25 40
"371" 32 "resource" 27 33 33 17 30 26 27 23 31 23 27 17 33
"372" 33 "resource" 22 28 27 11 25 23 24 19 26 19 22.4 11 28
"373" 34 "resource" 19 23 21 6 22 18 17 16 19 15 17.6 6 23
"374" 35 "resource" 17 18 16 5 18 14 15 14 17 13 14.7 5 18
"375" 36 "resource" 13 16 10 4 17 13 13 11 14 12 12.3 4 17
"376" 37 "resource" 10 13 8 3 12 11 12 8 9 10 9.6 3 13
"377" 38 "resource" 5 11 7 3 10 9 11 6 9 10 8.1 3 11
"378" 39 "resource" 5 9 6 3 10 7 9 4 7 7 6.7 3 10
