"maternalAge" "scenario" "rep1" "rep10" "rep2" "rep3" "rep4" "rep5" "rep6" "rep7" "rep8" "rep9" "mean" "min" "max"
"72" 31 "damageQuality" 80 85 78 61 72 73 66 69 75 66 72.5 61 85
"73" 32 "damageQuality" 77 79 76 60 66 69 60 67 72 62 68.8 60 79
"74" 33 "damageQuality" 68 74 73 57 65 59 59 63 67 56 64.1 56 74
"75" 34 "damageQuality" 66 68 73 54 64 54 57 59 65 54 61.4 54 73
"76" 35 "damageQuality" 64 65 70 51 59 44 51 57 63 54 57.8 44 70
"77" 36 "damageQuality" 59 63 67 49 56 41 50 52 59 48 54.4 41 67
"78" 37 "damageQuality" 58 60 67 47 54 41 47 51 54 42 52.1 41 67
"79" 38 "damageQuality" 54 54 66 45 52 39 45 48 49 41 49.3 39 66
"80" 39 "damageQuality" 48 53 65 43 47 36 42 46 46 40 46.6 36 65
"81" 0 "damageQualityResource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"82" 1 "damageQualityResource" 3087 3092 3058 3078 3032 3021 3104 3059 2996 2999 3052.6 2996 3104
"83" 2 "damageQualityResource" 2045 2066 1993 2035 2010 2054 2059 1988 2005 1959 2021.4 1959 2066
"84" 3 "damageQualityResource" 1374 1487 1353 1438 1384 1420 1423 1393 1389 1330 1399.1 1330 1487
"85" 4 "damageQualityResource" 962 1087 937 999 993 1018 989 972 976 931 986.4 931 1087
"86" 5 "damageQualityResource" 683 768 658 710 696 744 746 681 680 677 704.3 658 768
"87" 6 "damageQualityResource" 505 563 482 506 522 550 562 502 513 523 522.8 482 563
"88" 7 "damageQualityResource" 380 437 378 366 394 406 429 371 394 393 394.8 366 437
"89" 8 "damageQualityResource" 283 339 284 279 320 309 325 286 290 314 302.9 279 339
"90" 9 "damageQualityResource" 215 249 218 215 231 225 248 225 234 233 229.3 215 249
"91" 10 "damageQualityResource" 155 189 166 159 185 170 193 172 183 180 175.2 155 193
"92" 11 "damageQualityResource" 120 144 120 133 143 131 149 117 141 150 134.8 117 150
"93" 12 "damageQualityResource" 91 118 93 101 113 103 122 90 113 109 105.3 90 122
"94" 13 "damageQualityResource" 63 93 72 77 89 81 109 69 86 83 82.2 63 109
"95" 14 "damageQualityResource" 45 67 53 51 67 64 69 51 67 68 60.2 45 69
"96" 15 "damageQualityResource" 36 48 44 42 56 53 58 40 50 55 48.2 36 58
"97" 16 "damageQualityResource" 29 38 39 35 40 42 44 35 36 42 38 29 44
"98" 17 "damageQualityResource" 25 31 32 29 36 33 34 29 24 32 30.5 24 36
"99" 18 "damageQualityResource" 21 18 27 22 28 29 29 24 17 24 23.9 17 29
"100" 19 "damageQualityResource" 16 13 23 16 26 21 21 16 15 20 18.7 13 26
"101" 20 "damageQualityResource" 10 10 17 6 18 16 19 10 11 16 13.3 6 19
"102" 21 "damageQualityResource" 10 7 16 6 18 12 12 9 10 0 10 0 18
"103" 22 "damageQualityResource" 7 6 15 5 12 11 10 9 8 0 8.3 0 15
"104" 23 "damageQualityResource" 2 6 13 2 8 9 6 8 7 0 6.1 0 13
"105" 24 "damageQualityResource" 1 0 9 1 7 7 5 7 7 0 4.4 0 9
"106" 25 "damageQualityResource" 0 0 8 1 4 5 5 6 7 0 3.6 0 8
"107" 26 "damageQualityResource" 0 0 6 1 3 4 4 5 5 0 2.8 0 6
"108" 27 "damageQualityResource" 0 0 0 1 1 3 3 5 0 0 1.3 0 5
"109" 28 "damageQualityResource" 0 0 0 0 1 3 3 5 0 0 1.2 0 5
"110" 29 "damageQualityResource" 0 0 0 0 0 3 3 4 0 0 1 0 4
"111" 30 "damageQualityResource" 0 0 0 0 0 0 1 4 0 0 0.5 0 4
"112" 31 "damageQualityResource" 0 0 0 0 0 0 0 4 0 0 0.4 0 4
"113" 32 "damageQualityResource" 0 0 0 0 0 0 0 3 0 0 0.3 0 3
"114" 33 "damageQualityResource" 0 0 0 0 0 0 0 3 0 0 0.3 0 3
"115" 34 "damageQualityResource" 0 0 0 0 0 0 0 3 0 0 0.3 0 3
"116" 35 "damageQualityResource" 0 0 0 0 0 0 0 3 0 0 0.3 0 3
"117" 36 "damageQualityResource" 0 0 0 0 0 0 0 3 0 0 0.3 0 3
"118" 37 "damageQualityResource" 0 0 0 0 0 0 0 2 0 0 0.2 0 2
"119" 38 "damageQualityResource" 0 0 0 0 0 0 0 2 0 0 0.2 0 2
"120" 39 "damageQualityResource" 0 0 0 0 0 0 0 2 0 0 0.2 0 2
"121" 0 "damageResource" 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
"122" 1 "damageResource" 3657 3638 3626 3608 3633 3601 3636 3652 3683 3683 3641.7 3601 3683
"123" 2 "damageResource" 2668 2679 2644 2672 2711 2635 2643 2648 2708 2654 2666.2 2635 2711
"124" 3 "damageResource" 1987 1955 1944 1970 1995 1991 1968 2003 1976 2021 1981 1944 2021
"125" 4 "damageResource" 1485 1484 1492 1497 1490 1485 1496 1493 1465 1514 1490.1 1465 1514
"126" 5 "damageResource" 1104 1105 1118 1131 1112 1133 1115 1138 1103 1130 1118.9 1103 1138
"127" 6 "damageResource" 832 830 859 845 825 873 844 850 825 864 844.7 825 873
"128" 7 "damageResource" 645 652 645 639 622 664 648 652 624 665 645.6 622 665
"129" 8 "damageResource" 505 510 507 503 480 506 482 485 472 512 496.2 472 512
"130" 9 "damageResource" 381 400 384 386 364 418 371 377 363 394 383.8 363 418
"131" 10 "damageResource" 293 316 300 300 297 348 290 294 281 316 303.5 281 348
