"ID" "ageAtDeath" "maternalAge" "paternalAge" "mutProb" "na"
"1291" ".0013390" 4 2 2 ".001" 7
"1292" ".0013390" 3 3 3 ".001" 7
"1293" ".0013390" 3 4 4 ".001" 7
"1294" ".0013390" 2 5 5 ".001" 7
"1295" ".0013390" 0 6 6 ".001" 7
"1310" ".0013393" 2 0 0 ".001" 7
"1311" ".0013393" 15 1 1 ".001" 7
"1312" ".0013393" 0 2 2 ".001" 7
"1313" ".0013393" 9 3 3 ".001" 7
"1314" ".0013393" 3 4 4 ".001" 7
"1315" ".0013393" 0 5 5 ".001" 7
"1316" ".0013393" 3 6 6 ".001" 7
"1450" ".0013413" 0 0 0 ".001" 7
"1451" ".0013413" 17 1 1 ".001" 7
"1452" ".0013413" 2 2 2 ".001" 7
"1453" ".0013413" 3 3 3 ".001" 7
"1454" ".0013413" 1 4 4 ".001" 7
"1455" ".0013413" 5 5 5 ".001" 7
"1456" ".0013413" 13 6 6 ".001" 7
"1520" ".0013423" 0 0 0 ".001" 7
"1521" ".0013423" 0 1 1 ".001" 7
"1522" ".0013423" 10 2 2 ".001" 7
"1523" ".0013423" 2 3 3 ".001" 7
"1524" ".0013423" 10 4 4 ".001" 7
"1525" ".0013423" 6 5 5 ".001" 7
"1526" ".0013423" 19 6 6 ".001" 7
"1555" ".0013428" 10 0 0 ".001" 7
"1556" ".0013428" 6 1 1 ".001" 7
"1557" ".0013428" 2 2 2 ".001" 7
"1558" ".0013428" 5 3 3 ".001" 7
"1559" ".0013428" 10 4 4 ".001" 7
"1560" ".0013428" 2 5 5 ".001" 7
"1561" ".0013428" 1 6 6 ".001" 7
"1765" ".0013458" 7 0 0 ".001" 7
"1766" ".0013458" 1 1 1 ".001" 7
"1767" ".0013458" 12 2 2 ".001" 7
"1768" ".0013458" 4 3 3 ".001" 7
"1769" ".0013458" 20 4 4 ".001" 7
"1770" ".0013458" 1 5 5 ".001" 7
"1771" ".0013458" 5 6 6 ".001" 7
"1821" ".0013466" 8 0 0 ".001" 7
"1822" ".0013466" 20 1 1 ".001" 7
"1823" ".0013466" 8 2 2 ".001" 7
"1824" ".0013466" 3 3 3 ".001" 7
"1825" ".0013466" 2 4 4 ".001" 7
"1826" ".0013466" 4 5 5 ".001" 7
"1827" ".0013466" 12 6 6 ".001" 7
"1884" ".0013475" 1 0 0 ".001" 7
"1885" ".0013475" 6 1 1 ".001" 7
"1886" ".0013475" 0 2 2 ".001" 7
"1887" ".0013475" 6 3 3 ".001" 7
"1888" ".0013475" 9 4 4 ".001" 7
